team_name,player_name,player_role,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,start,end,experience,cluster_id
New Zealand,Ish Sodhi,Bowler,49.0,24.0,4.0,201.0,35.0,10.05,276.0,72.82,0.0,0.0,5.0,7,10,2015,2023,8.0,0
New Zealand,Tim Southee,Bowler,157.0,94.0,35.0,724.0,55.0,12.27,750.0,96.53,0.0,1.0,13.0,57,26,2008,2023,15.0,2
New Zealand,Will Young,Top order Batter,27.0,27.0,3.0,991.0,120.0,41.29,1157.0,85.65,2.0,7.0,3.0,102,20,2021,2023,2.0,1
Pakistan,Babar Azam,Batter,115.0,112.0,12.0,5625.0,158.0,56.25,6347.0,88.62,19.0,31.0,4.0,508,58,2015,2023,8.0,3
Pakistan,Shadab Khan,Allrounder,69.0,43.0,11.0,851.0,86.0,26.59,990.0,85.95,0.0,4.0,3.0,50,19,2017,2023,6.0,1
Pakistan,Fakhar Zaman,Opening Batter,80.0,79.0,5.0,3365.0,210.0,45.47,3647.0,92.26,10.0,16.0,6.0,383,63,2017,2023,6.0,2
Pakistan,Imam-ul-Haq,Top order Batter,72.0,71.0,6.0,3138.0,151.0,48.27,3801.0,82.55,9.0,20.0,3.0,253,30,2017,2023,6.0,1
Pakistan,Mohammad Rizwan,Wicketkeeper Batter,72.0,66.0,15.0,2052.0,131.0,40.23,2274.0,90.23,3.0,13.0,2.0,178,21,2015,2023,8.0,1
Pakistan,Saud Shakeel,Middle order Batter,13.0,11.0,1.0,288.0,68.0,28.8,316.0,91.13,0.0,3.0,0.0,33,1,2021,2023,2.0,1
Pakistan,Iftikhar Ahmed,Middle order Batter,26.0,23.0,8.0,611.0,109.0,40.73,571.0,107.0,1.0,1.0,0.0,52,20,2015,2023,8.0,1
Pakistan,Mohammad Nawaz,Allrounder,37.0,28.0,6.0,406.0,53.0,18.45,458.0,88.64,0.0,1.0,0.0,27,11,2016,2023,7.0,0
Pakistan,Haris Rauf,Bowler,35.0,14.0,7.0,33.0,16.0,4.71,67.0,49.25,0.0,0.0,1.0,3,1,2020,2023,3.0,0
