team_name,player_name,player_id,player_role,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Pakistan,Fakhar Zaman,512191,Opening Batter,2017-2023,80,79,5,3365,210*,45.47,3647,92.26,10,16,6,383,63
Pakistan,Imam-ul-Haq,568276,Top order Batter,2017-2023,72,71,6,3138,151,48.27,3801,82.55,9,20,3,253,30
Pakistan,Abdullah Shafique,922941,Top order Batter,10,10,0,412,113,41.20,460,89.56,1,4,0,38,12,
Pakistan,Mohammad Rizwan,323389,Wicketkeeper Batter,2015-2023,72,66,15,2052,131*,40.23,2274,90.23,3,13,2,178,21
Pakistan,Saud Shakeel,652687,Middle order Batter,2021-2023,13,11,1,288,68,28.80,316,91.13,0,3,0,33,1
Pakistan,Iftikhar Ahmed,480603,Middle order Batter,2015-2023,26,23,8,611,109*,40.73,571,107.00,1,1,0,52,20
Pakistan,Salman Ali Agha,623977,Allrounder,19,16,5,436,58,39.63,452,96.46,0,3,0,38,8,
Pakistan,Mohammad Nawaz,348148,Allrounder,2016-2023,37,28,6,406,53,18.45,458,88.64,0,1,0,27,11
Pakistan,Usama Mir,647667,Bowler,12,6,0,40,20,6.66,34,117.64,0,0,2,2,3,
Pakistan,Haris Rauf,1161606,Bowler,2020-2023,35,14,7,33,16,4.71,67,49.25,0,0,1,3,1
Pakistan,Hasan Ali,681305,Bowler,2016-2023,65,38,11,383,59,14.18,327,117.12,0,2,4,28,24
Pakistan,Shaheen Afridi,1072470,Bowler,2018-2023,51,28,17,171,23*,15.54,216,79.16,0,0,3,14,6
Pakistan,Mohammad Wasim,1185538,Bowling Allrounder,2022-2023,18,8,1,64,17*,9.14,68,94.11,0,0,1,3,4
South Africa,Temba Bavuma,372116,Middle order Batter,2016-2023,34,33,4,1454,144,50.13,1619,89.80,5,4,1,138,22
South Africa,Gerald Coetzee,596010,Bowler,11,6,0,38,22,6.33,51,74.50,0,0,1,2,1,
South Africa,Quinton de Kock,379143,Wicketkeeper Batter,2013-2023,151,151,7,6607,178,45.88,6818,96.90,20,30,4,758,112
South Africa,Reeza Hendricks,269280,Opening Batter,2018-2023,31,31,2,858,102,29.58,1067,80.41,1,6,1,88,9
South Africa,Marco Jansen,696401,Bowling Allrounder,2022-2023,20,17,5,408,75*,34.00,342,119.29,0,1,0,31,20
South Africa,Heinrich Klaasen,436757,Wicketkeeper Batter,2018-2023,47,44,6,1623,174,42.71,1386,117.09,4,6,2,141,57
South Africa,Andile Phehlukwayo,540316,Bowling Allrounder,2016-2023,76,49,17,781,69*,24.40,887,88.04,0,2,4,69,31
South Africa,Keshav Maharaj,267724,Bowler,2017-2023,37,19,5,209,40,14.92,235,88.93,0,0,1,27,2
South Africa,Aiden Markram,600498,Opening Batter,2017-2023,61,58,5,2021,175,38.13,2035,99.31,3,10,4,208,47
South Africa,David Miller,321777,Middle order Batter,2010-2023,166,143,43,4257,139,42.57,4098,103.87,5,23,9,317,128
South Africa,Lungi Ngidi,542023,Bowler,2018-2023,53,21,14,91,19*,13.00,182,50.00,0,0,3,5,5
South Africa,Kagiso Rabada,550215,Bowler,2015-2023,97,40,18,344,31*,15.63,412,83.49,0,0,2,26,10
South Africa,Tabraiz Shamsi,379145,Bowler,2016-2023,48,11,7,22,9*,5.50,50,44.00,0,0,3,1,0
South Africa,Rassie van der Dussen,337790,Top order Batter,2019-2023,55,49,10,2094,134,53.69,2361,88.69,5,13,1,163,35
South Africa,Lizaad Williams,379887,Bowler,2021-2023,2,-,-,-,-,-,-,-,-,-,-,-,-
Sri Lanka,Dasun Shanaka,437316,Allrounder,2016-2023,69,61,5,1284,108*,22.92,1388,92.50,2,4,6,103,42
Sri Lanka,Kusal Mendis,629074,Wicketkeeper Batter,2016-2023,118,115,9,3483,122,32.85,4018,86.68,3,26,14,346,61
Sri Lanka,Kusal Perera,300631,Wicketkeeper Batter,2013-2023,114,109,5,3182,135,30.59,3452,92.17,6,16,12,352,50
Sri Lanka,Pathum Nissanka,1028655,Top order Batter,2021-2023,46,46,4,1685,137,40.11,1995,84.46,3,13,3,212,9
Sri Lanka,Dimuth Karunaratne,227772,Opening Batter,2011-2023,49,45,4,1316,103,32.09,1653,79.61,1,11,3,131,1
Sri Lanka,Sadeera Samarawickrama,629076,Wicketkeeper Batter,2017-2023,29,26,3,946,108,41.13,998,94.78,1,7,3,96,6
Sri Lanka,Charith Asalanka,784367,Batting Allrounder,2021-2023,47,41,5,1443,110,40.08,1626,88.74,1,10,2,116,28
Sri Lanka,Dhananjaya de Silva,465793,Allrounder,2016-2023,88,80,10,1812,93,25.88,2313,78.33,0,10,4,180,15
Sri Lanka,Dushan Hemantha,721041,Allrounder,4,3,2,39,22,39.00,38,102.63,0,0,0,3,1,
Sri Lanka,Maheesh Theekshana,1138316,Bowler,2021-2023,32,17,6,149,29,13.54,252,59.12,0,0,4,8,2
Sri Lanka,Dunith Wellalage,1152427,Bowler,18,15,3,207,42*,17.25,269,76.95,0,0,3,16,5,
Sri Lanka,Kasun Rajitha,499594,Bowler,2018-2023,32,17,7,103,33,10.30,165,62.42,0,0,3,12,1
Sri Lanka,Matheesha Pathirana,1194795,Bowler,12,7,2,11,5,2.20,35,31.42,0,0,2,2,0,
Sri Lanka,Lahiru Kumara,784375,Bowler,2017-2023,28,16,6,55,10,5.50,122,45.08,0,0,1,7,1
Sri Lanka,Dilshan Madushanka,793007,Bowler,12,6,6,9,4*,-,19,47.36,0,0,0,2,0,
